PID,Name,Priority,Burst Time,Arrival Time,Waiting Time,Response Time
2119,(seaho,20,299,0,107362,107661
2126,(gnome,20,5164,0,107661,112825
2220,(bash),20,222,0,112825,113047
2658,(updat,20,164,0,113047,113211
4148,(kwork,20,14316,0,113211,127527
4448,(kwork,20,0,0,127527,127527
4449,(kwork,20,1132,0,127527,128659
4471,(kwork,20,379,0,128659,129038
4474,(kwork,20,111,0,129038,129149
4481,(kwork,20,0,0,129149,129149
4482,(kwork,20,0,0,129149,129149
4505,(main),20,9,0,129149,129158

Average Waiting Time: 52659.45
Average Response Time: 53428.25
