PID,Name,Priority,Burst Time,Arrival Time,Waiting Time,Response Time
2126,(gnome,20,5164,0,58649,63813
2220,(bash),20,222,0,14727,14949
2658,(updat,20,164,0,12041,12205
4148,(kwork,20,14316,0,77323,91639
4448,(kwork,20,0,0,127527,127527
4449,(kwork,20,1132,0,33408,34540
4471,(kwork,20,379,0,19972,20351
4474,(kwork,20,111,0,9444,9555
4481,(kwork,20,0,0,129149,129149
4482,(kwork,20,0,0,129149,129149
4505,(main),20,9,0,1403,1412

Average Waiting Time: 15039.92
Average Response Time: 15808.71
